Battleground,Faction,Class,KB,D,HK,DD,HD,Win,Rol
Deepwind gorge,Alliance,Priest,8,3,35,86958,26805,0,dps
Deepwind gorge,Horde,Rogue,0,4,37,24030,1692,1,dps
Deepwind gorge,Alliance,Priest,0,3,30,2633,77562,0,heal
Deepwind gorge,Horde,Paladin,0,3,33,35984,49038,1,heal
Deepwind gorge,Horde,Mage,13,1,54,54259,20971,1,dps
Deepwind gorge,Horde,Priest,2,2,50,24136,116000,1,heal
Deepwind gorge,Alliance,Paladin,4,5,20,127000,19158,0,dps
Deepwind gorge,Alliance,Rogue,2,6,31,40234,3371,0,dps
Deepwind gorge,Alliance,Warrior,2,4,27,21209,8950,0,dps
Deepwind gorge,Horde,Warrior,5,6,24,37263,12972,1,dps
Deepwind gorge,Horde,Demon Hunter,4,4,52,53240,6766,1,dps
Deepwind gorge,Horde,Death Knight,3,2,45,57348,29749,1,dps
Deepwind gorge,Horde,Rogue,6,2,47,48958,19528,1,dps
Deepwind gorge,Alliance,Shaman,5,3,36,65684,7134,0,dps
Deepwind gorge,Alliance,Mage,10,3,40,104000,4278,0,dps
Arathi basin,Alliance,Mage,8,4,37,87559,13923,1,dps
Arathi basin,Horde,Paladin,0,0,7,103,2288,0,heal
Arathi basin,Horde,Hunter,1,7,11,74415,7212,0,dps
Arathi basin,Alliance,Warrior,12,2,39,80285,11346,1,dps
Arathi basin,Alliance,Druid,0,3,42,1368,175000,1,heal
Arathi basin,Horde,Mage,2,3,18,152000,4749,0,dps
Arathi basin,Horde,Priest,0,2,9,7749,83060,0,heal
Arathi basin,Alliance,Mage,2,2,53,64224,10864,1,dps
Arathi basin,Alliance,Monk,2,2,36,3490,187000,1,heal
Arathi basin,Horde,Shaman,0,7,16,20477,143000,0,heal
Arathi basin,Horde,Paladin,1,1,4,11769,3325,0,dps
Arathi basin,Alliance,Mage,2,0,51,111000,4314,1,dps
Arathi basin,Alliance,Druid,6,0,51,82081,11540,1,dps
Arathi basin,Alliance,Warrior,4,1,46,125000,18200,1,dps
Arathi basin,Horde,Monk,3,6,11,92806,35406,0,dps
Arathi basin,Horde,Mage,1,4,14,83602,23018,0,dps
Arathi basin,Horde,Druid,0,1,10,35208,17948,0,dps
Arathi basin,Alliance,Death Knight,4,1,44,186000,21857,1,dps
Arathi basin,Alliance,Warrior,6,4,25,66806,4860,1,dps
Arathi basin,Horde,Mage,0,3,9,20849,4178,0,dps
Arathi basin,Horde,Warrior,5,3,18,181000,37231,0,dps
Arathi basin,Horde,Warlock,4,5,13,119000,33349,0,dps
Arathi basin,Alliance,Druid,0,1,46,9630,168000,1,heal
Arathi basin,Horde,Rogue,2,5,17,49837,10297,0,dps
Arathi basin,Alliance,Demon Hunter,1,1,47,39138,21708,1,dps
Arathi basin,Alliance,Shaman,0,1,36,0,143000,1,heal
Arathi basin,Horde,Shaman,2,1,19,26670,120000,0,heal
Arathi basin,Horde,Priest,0,5,12,5332,225000,0,heal
Arathi basin,Alliance,Priest,2,2,42,214000,33147,1,dps
Arathi basin,Alliance,Rogue,3,3,24,34426,2802,1,dps
Silvershard mines,Horde,Paladin,3,3,18,58874,29732,1,dps
Silvershard mines,Horde,Warrior,1,4,19,33188,42355,1,dps
Silvershard mines,Alliance,Druid,7,4,36,69535,4134,0,dps
Silvershard mines,Horde,Paladin,4,5,18,60889,21554,1,dps
Silvershard mines,Horde,Rogue,1,8,17,33717,1863,1,dps
Silvershard mines,Alliance,Demon Hunter,14,2,45,92862,9878,0,dps
Silvershard mines,Alliance,Death Knight,3,2,43,47029,24575,0,dps
Silvershard mines,Horde,Shaman,2,6,16,6920,72906,1,heal
Silvershard mines,Alliance,Paladin,4,4,42,97230,23473,0,dps
Silvershard mines,Alliance,Rogue,9,1,41,54439,9108,0,dps
Silvershard mines,Horde,Death Knight,1,8,13,38732,14942,1,dps
Silvershard mines,Horde,Paladin,0,2,18,854,46905,1,heal
Silvershard mines,Alliance,Warlock,5,0,45,77695,29075,0,dps
Silvershard mines,Alliance,Mage,5,1,46,59585,10493,0,dps
Silvershard mines,Alliance,Paladin,0,1,42,3569,31105,0,heal
Silvershard mines,Alliance,Priest,0,3,39,0,56190,0,heal
Silvershard mines,Horde,Mage,4,7,15,37121,8251,1,dps
Silvershard mines,Horde,Shaman,2,4,14,27238,13950,1,dps
Silvershard mines,Alliance,Rogue,4,2,43,39846,11276,0,dps
Silvershard mines,Horde,Druid,1,4,10,14547,7167,1,dps
Silvershard mines,Alliance,Warlock,2,1,9,19175,11495,0,dps
Silvershard mines,Horde,Paladin,1,0,28,32778,16829,1,dps
Silvershard mines,Alliance,Priest,1,3,11,9731,25164,0,heal
Silvershard mines,Alliance,Druid,0,2,11,0,27090,0,heal
Silvershard mines,Horde,Rogue,5,0,30,22297,6474,1,dps
Silvershard mines,Horde,Shaman,0,0,29,4351,29830,1,heal
Silvershard mines,Horde,Monk,6,3,27,21183,5864,1,dps
Silvershard mines,Horde,Demon Hunter,4,2,22,34860,5997,1,dps
Silvershard mines,Alliance,Druid,2,6,7,12566,3388,0,dps
Silvershard mines,Alliance,Mage,0,3,10,8487,4184,0,dps
Silvershard mines,Alliance,Monk,0,3,9,231,18752,0,heal
Silvershard mines,Horde,Shaman,0,1,28,3344,22031,1,heal
Silvershard mines,Alliance,Hunter,1,2,9,25034,2712,0,dps
Silvershard mines,Horde,Demon Hunter,0,3,25,18449,1208,1,dps
Silvershard mines,Horde,Mage,4,2,28,18103,3524,1,dps
Silvershard mines,Alliance,Paladin,4,2,11,18293,5895,0,dps
Silvershard mines,Alliance,Druid,1,6,5,18722,3017,0,dps
Silvershard mines,Horde,Priest,2,0,30,24230,4600,1,dps
Silvershard mines,Horde,Warrior,9,0,27,29834,1206,1,dps
Silvershard mines,Alliance,Demon Hunter,0,3,8,7371,1094,0,dps
Silvershard mines,Alliance,Monk,0,3,8,627,33250,0,heal
Silvershard mines,Horde,Hunter,1,3,11,7047,1574,1,dps
Silvershard mines,Alliance,Monk,0,1,6,10312,4178,0,dps
Silvershard mines,Alliance,Paladin,2,2,9,15921,5745,0,dps
Silvershard mines,Horde,Priest,2,0,22,16695,22637,1,heal
Silvershard mines,Horde,Monk,3,0,22,15795,1885,1,dps
Silvershard mines,Horde,Shaman,1,0,22,2259,23537,1,heal
Silvershard mines,Horde,Warlock,2,1,21,24101,6103,1,dps
Silvershard mines,Horde,Rogue,2,3,19,12530,1544,1,dps
Silvershard mines,Horde,Priest,1,1,22,9411,15502,1,heal
Silvershard mines,Alliance,Warrior,2,1,10,11506,2010,0,dps
Silvershard mines,Alliance,Monk,0,2,8,11,44107,0,heal
Silvershard mines,Horde,Druid,1,1,21,31688,3559,1,dps
Silvershard mines,Alliance,Paladin,1,3,8,25819,4506,0,dps
Silvershard mines,Alliance,Paladin,0,4,9,550,21572,0,heal
Silvershard mines,Alliance,Warlock,2,3,8,22348,8949,0,dps
Silvershard mines,Alliance,Warlock,0,1,9,2344,1212,0,dps
Silvershard mines,Alliance,Rogue,2,2,9,20121,5539,0,dps
Silvershard mines,Horde,Demon Hunter,5,0,22,51111,1815,1,dps
Silvershard mines,Horde,Warrior,4,1,17,13033,2667,1,dps
Silvershard mines,Alliance,Hunter,0,1,3,10996,2777,0,dps
Silvershard mines,Horde,Druid,0,0,29,2655,50557,1,heal
Silvershard mines,Alliance,Death Knight,1,3,3,16115,8601,0,dps
Silvershard mines,Horde,Shaman,0,1,21,3084,16988,1,heal
Silvershard mines,Horde,Warlock,2,0,32,25122,20017,1,dps
Silvershard mines,Alliance,Priest,0,4,4,758,69932,0,heal
Silvershard mines,Alliance,Hunter,0,6,3,17776,4451,0,dps
Silvershard mines,Alliance,Hunter,0,4,2,24289,7469,0,dps
Silvershard mines,Alliance,Demon Hunter,1,4,2,26889,2441,0,dps
Silvershard mines,Horde,Hunter,2,0,26,14930,0,1,dps
Silvershard mines,Alliance,Druid,0,2,4,16146,10727,0,dps
Silvershard mines,Horde,Paladin,3,0,26,23179,10309,1,dps
Silvershard mines,Alliance,Paladin,0,2,4,532,18877,0,heal
Silvershard mines,Alliance,Druid,1,2,4,19423,3462,0,dps
Silvershard mines,Horde,Hunter,8,0,31,40339,3033,1,dps
Silvershard mines,Horde,Paladin,2,1,25,38413,4034,1,dps
Silvershard mines,Horde,Warlock,2,1,23,7834,7995,1,dps
Silvershard mines,Alliance,Hunter,1,3,4,13804,4858,0,dps
Silvershard mines,Horde,Shaman,5,1,25,41502,15860,1,dps
Silvershard mines,Horde,Warrior,7,0,28,27138,4993,1,dps
Silvershard mines,Alliance,Paladin,0,7,17,25707,8513,0,dps
Silvershard mines,Alliance,Demon Hunter,6,2,23,52817,6649,0,dps
Silvershard mines,Horde,Mage,0,3,42,28290,3489,1,dps
Silvershard mines,Horde,Priest,9,2,44,67718,29004,1,dps
Silvershard mines,Alliance,Demon Hunter,0,5,17,16550,2846,0,dps
Silvershard mines,Horde,Rogue,5,1,45,25108,2475,1,dps
Silvershard mines,Horde,Warlock,8,2,41,39582,32892,1,dps
Silvershard mines,Alliance,Death Knight,0,6,18,18019,19339,0,dps
Silvershard mines,Horde,Demon Hunter,3,0,43,31192,11082,1,dps
Silvershard mines,Horde,Shaman,1,6,42,6339,59138,1,heal
Silvershard mines,Alliance,Mage,4,3,22,22585,8329,0,dps
Silvershard mines,Alliance,Druid,0,4,18,200,49004,0,heal
Silvershard mines,Alliance,Hunter,6,4,21,74614,3830,0,dps
Silvershard mines,Horde,Priest,10,1,45,65592,42314,1,dps
Silvershard mines,Horde,Priest,4,2,38,46117,34324,1,dps
Silvershard mines,Alliance,Shaman,0,8,13,43728,222,0,dps
Silvershard mines,Horde,Shaman,4,4,37,38664,15802,1,dps
Silvershard mines,Alliance,Paladin,1,2,14,17248,7764,0,dps
Silvershard mines,Alliance,Warrior,8,5,21,75974,18398,0,dps
Silvershard mines,Horde,Shaman,1,4,44,24701,10861,1,dps
Silvershard mines,Alliance,Demon Hunter,5,0,45,97774,9828,1,dps
Silvershard mines,Alliance,Mage,9,2,43,101000,7752,1,dps
Silvershard mines,Alliance,Druid,9,0,43,46814,7998,1,dps
Silvershard mines,Alliance,Demon Hunter,2,3,38,20282,23129,1,dps
Silvershard mines,Horde,Rogue,0,2,14,23622,15360,0,dps
Silvershard mines,Horde,Monk,1,5,13,13080,91131,0,heal
Silvershard mines,Alliance,Mage,1,3,41,33715,4679,1,dps
Silvershard mines,Alliance,Hunter,5,5,39,62260,12390,1,dps
Silvershard mines,Horde,Druid,2,5,15,76711,17624,0,dps
Silvershard mines,Alliance,Shaman,2,3,33,10932,106000,1,heal
Silvershard mines,Horde,Rogue,0,3,18,42584,11807,0,dps
Silvershard mines,Horde,Hunter,1,5,13,34785,6793,0,dps
Silvershard mines,Alliance,Druid,1,1,44,5553,166000,1,heal
Silvershard mines,Alliance,Hunter,6,0,45,86061,9634,1,dps
Silvershard mines,Horde,Death Knight,3,5,14,61492,38798,0,dps
Silvershard mines,Horde,Mage,6,5,13,85944,9637,0,dps
Silvershard mines,Horde,Priest,0,4,12,20109,92959,0,heal
Silvershard mines,Horde,Warrior,4,9,14,71378,7362,0,dps
Silvershard mines,Alliance,Warrior,6,1,43,51626,10665,1,dps
Silvershard mines,Horde,Warlock,1,3,15,35339,7279,0,dps
Twin peaks,Horde,Mage,0,1,17,22143,3281,0,dps
Twin peaks,Horde,Mage,1,0,3,7494,3247,0,dps
Twin peaks,Alliance,Demon Hunter,2,2,18,38970,7722,1,dps
Twin peaks,Horde,Hunter,2,1,17,17714,1851,0,dps
Twin peaks,Horde,Shaman,1,3,12,8477,44467,0,heal
Twin peaks,Horde,Mage,6,2,17,36622,3478,0,dps
Twin peaks,Alliance,Warrior,2,3,14,25597,4139,1,dps
Twin peaks,Alliance,Priest,0,0,19,6337,56269,1,heal
Twin peaks,Alliance,Priest,2,2,19,18235,6863,1,dps
Twin peaks,Alliance,Demon Hunter,0,1,17,13306,974,1,dps
Twin peaks,Alliance,Warrior,4,2,16,10912,8847,1,dps
Twin peaks,Alliance,Priest,3,3,15,45563,18001,1,dps
Twin peaks,Horde,Paladin,2,3,11,50249,7529,0,dps
Twin peaks,Alliance,Druid,0,1,11,418,18912,1,heal
Twin peaks,Alliance,Priest,6,3,16,62836,16103,1,dps
Twin peaks,Horde,Mage,2,4,14,32945,7101,0,dps
Twin peaks,Alliance,Warrior,3,3,20,27658,9190,1,dps
Twin peaks,Horde,Warrior,2,3,11,30239,8984,0,dps
Twin peaks,Horde,Warlock,1,2,17,26684,13666,0,dps
Twin peaks,Horde,Priest,0,2,18,1698,46505,0,heal
Twin peaks,Alliance,Druid,0,0,16,4830,55789,0,heal
Twin peaks,Alliance,Rogue,0,4,5,21946,2036,0,dps
Twin peaks,Horde,Demon Hunter,1,1,16,23722,7194,1,dps
Twin peaks,Alliance,Demon Hunter,0,3,14,25126,304,0,dps
Twin peaks,Alliance,Demon Hunter,3,3,16,47351,5682,0,dps
Twin peaks,Horde,Warrior,5,4,17,41586,7895,1,dps
Twin peaks,Horde,Death Knight,4,5,15,72716,33793,1,dps
Twin peaks,Alliance,Hunter,6,1,18,63642,5939,0,dps
Twin peaks,Horde,Shaman,1,3,16,3506,34528,1,heal
Twin peaks,Horde,Shaman,1,0,20,3621,51821,1,heal
Twin peaks,Alliance,Mage,2,3,15,8895,3802,0,dps
Twin peaks,Horde,Hunter,2,0,17,29710,1346,1,dps
Twin peaks,Horde,Monk,3,2,13,37836,12401,1,dps
Twin peaks,Alliance,Mage,2,3,16,43180,6972,0,dps
Twin peaks,Horde,Hunter,4,1,14,56188,8653,1,dps
Twin peaks,Alliance,Priest,0,1,18,9967,101000,0,heal
Twin peaks,Alliance,Shaman,5,1,16,34760,9172,0,dps
Twin peaks,Horde,Monk,2,0,19,23447,10391,1,dps
Twin peaks,Horde,Warlock,2,2,16,23480,8633,1,dps
Twin peaks,Alliance,Warlock,0,6,5,25204,12891,0,dps
Twin peaks,Alliance,Hunter,2,3,35,47816,3734,1,dps
Twin peaks,Horde,Hunter,2,4,11,61727,7806,0,dps
Twin peaks,Alliance,Shaman,7,3,44,63438,12212,1,dps
Twin peaks,Alliance,Paladin,3,2,44,29177,13799,1,dps
Twin peaks,Horde,Druid,1,5,12,58505,13698,0,dps
Twin peaks,Horde,Hunter,0,1,9,28690,3583,0,dps
Twin peaks,Horde,Druid,0,3,3,31933,553,0,dps
Twin peaks,Alliance,Druid,1,0,48,4115,112000,1,heal
Twin peaks,Horde,Shaman,0,6,14,13297,75994,0,heal
Twin peaks,Alliance,Hunter,9,3,34,49790,13549,1,dps
Twin peaks,Alliance,Warrior,9,0,44,57203,11294,1,dps
Twin peaks,Alliance,Demon Hunter,6,1,44,49709,8170,1,dps
Twin peaks,Alliance,Demon Hunter,4,1,47,53810,18656,1,dps
Twin peaks,Horde,Paladin,0,2,10,1832,27101,0,heal
Twin peaks,Alliance,Hunter,7,2,41,68436,6207,1,dps
Twin peaks,Horde,Death Knight,4,6,13,62293,32154,0,dps
Twin peaks,Horde,Hunter,0,8,12,28793,8016,0,dps
Twin peaks,Horde,Rogue,6,5,13,30749,7144,0,dps
Twin peaks,Alliance,Paladin,0,0,39,11367,73497,1,heal
Twin peaks,Horde,Warrior,1,7,13,41640,8967,0,dps
Twin peaks,Horde,Priest,1,4,8,13921,87910,0,heal
Twin peaks,Alliance,Druid,3,0,28,50860,7164,1,dps
Twin peaks,Alliance,Paladin,0,1,21,15657,2153,1,dps
Twin peaks,Alliance,Monk,0,3,23,0,52110,1,heal
Twin peaks,Alliance,Hunter,4,0,29,61922,4291,1,dps
Twin peaks,Alliance,Priest,1,1,19,6425,29085,1,heal
Twin peaks,Horde,Rogue,1,2,8,14917,3476,0,dps
Twin peaks,Horde,Shaman,0,5,5,3842,62007,0,heal
Twin peaks,Alliance,Rogue,2,3,20,18830,3017,1,dps
Twin peaks,Horde,Death Knight,0,4,7,36793,19860,0,dps
Twin peaks,Alliance,Rogue,6,1,28,50888,9844,1,dps
Twin peaks,Alliance,Demon Hunter,6,0,19,29894,4117,1,dps
Twin peaks,Horde,Mage,0,2,6,15570,4170,0,dps
Twin peaks,Horde,Demon Hunter,2,3,9,32772,1879,0,dps
Twin peaks,Alliance,Death Knight,4,0,26,61077,24808,1,dps
Twin peaks,Horde,Demon Hunter,0,0,0,5001,733,0,dps
Twin peaks,Alliance,Death Knight,6,0,26,61517,9761,1,dps
Twin peaks,Horde,Rogue,2,5,8,15955,2241,0,dps
Twin peaks,Horde,Monk,7,4,20,4700,1538,0,dps
Twin peaks,Horde,Druid,2,2,20,16909,3091,0,dps
Twin peaks,Alliance,Warrior,1,4,23,9736,281,1,dps
Twin peaks,Alliance,Druid,0,2,25,27529,15028,1,dps
Twin peaks,Horde,Mage,0,3,15,18951,6043,0,dps
Twin peaks,Horde,Warrior,0,2,24,23575,14533,0,dps
Twin peaks,Horde,Warrior,3,7,20,28060,3540,0,dps
Twin peaks,Alliance,Monk,3,2,22,19528,3417,1,dps
Twin peaks,Alliance,Druid,1,0,22,6670,59085,1,heal
Twin peaks,Alliance,Druid,2,2,21,1810,45132,1,heal
Twin peaks,Horde,Shaman,0,3,23,7340,43717,0,heal
Twin peaks,Horde,Shaman,9,5,24,47707,1239,0,dps
Twin peaks,Horde,Hunter,5,3,26,27884,2194,0,dps
Twin peaks,Alliance,Mage,9,1,28,42848,6232,1,dps
Twin peaks,Horde,Warrior,1,2,22,25296,18631,0,dps
Twin peaks,Alliance,Warrior,9,5,23,41415,2000,1,dps
Twin peaks,Alliance,Monk,3,4,22,25214,7651,1,dps
Twin peaks,Horde,Shaman,1,3,26,6652,60447,0,heal
Twin peaks,Alliance,Death Knight,4,5,25,48198,12318,1,dps
Twin peaks,Alliance,Demon Hunter,2,4,19,21789,3138,1,dps
Battle for Gilneas,Horde,Rogue,5,4,45,51237,17310,0,dps
Battle for Gilneas,Alliance,Hunter,5,4,31,73418,9144,1,dps
Battle for Gilneas,Alliance,Hunter,4,3,29,53194,10249,1,dps
Battle for Gilneas,Horde,Paladin,8,7,42,83612,32570,0,dps
Battle for Gilneas,Alliance,Mage,0,7,14,36666,19184,1,dps
Battle for Gilneas,Horde,Priest,4,2,13,24047,7801,0,dps
Battle for Gilneas,Alliance,Mage,7,6,30,77737,11825,1,dps
Battle for Gilneas,Horde,Shaman,0,6,43,20857,190000,0,heal
Battle for Gilneas,Horde,Demon Hunter,3,3,17,21081,2176,0,dps
Battle for Gilneas,Horde,Hunter,7,4,37,82055,11900,0,dps
Battle for Gilneas,Alliance,Hunter,7,4,37,82055,11900,1,dps
Battle for Gilneas,Alliance,Hunter,6,6,40,106000,15191,1,dps
Battle for Gilneas,Alliance,Death Knight,10,8,34,113000,40541,1,dps
Battle for Gilneas,Horde,Death Knight,5,3,45,43361,56030,0,dps
Battle for Gilneas,Alliance,Druid,0,3,36,1112,131000,1,heal
Battle for Gilneas,Horde,Shaman,7,4,46,110000,18815,0,dps
Battle for Gilneas,Alliance,Druid,1,3,12,12491,776,1,dps
Battle for Gilneas,Horde,Rogue,6,6,29,48068,12530,0,dps
Battle for Gilneas,Horde,Hunter,3,5,44,50097,12874,0,dps
Battle for Gilneas,Alliance,Demon Hunter,4,4,31,32712,23882,1,dps
Battle for Gilneas,Alliance,Demon Hunter,0,2,7,19628,776,0,dps
Battle for Gilneas,Horde,Paladin,2,1,12,23856,7983,1,dps
Battle for Gilneas,Horde,Death Knight,1,0,12,31701,33958,1,dps
Battle for Gilneas,Horde,Demon Hunter,3,2,6,33274,4903,1,dps
Battle for Gilneas,Horde,Priest,5,0,14,31383,8944,1,dps
Battle for Gilneas,Alliance,Warrior,0,2,4,19395,2871,0,dps
Battle for Gilneas,Horde,Warlock,3,1,12,40418,15685,1,dps
Battle for Gilneas,Alliance,Warrior,0,2,5,18057,3781,0,dps
Battle for Gilneas,Horde,Shaman,2,2,9,9390,46838,1,heal
Battle for Gilneas,Horde,Priest,0,1,12,5789,41588,1,heal
Battle for Gilneas,Horde,Warrior,3,1,7,23788,22274,1,dps
Battle for Gilneas,Alliance,Shaman,1,2,6,49148,4281,0,dps
Battle for Gilneas,Horde,Warlock,0,0,11,5652,5239,1,dps
Battle for Gilneas,Alliance,Monk,0,2,6,1864,61595,0,heal
Battle for Gilneas,Alliance,Paladin,0,3,4,7710,5657,0,dps
Battle for Gilneas,Alliance,Demon Hunter,2,3,4,47762,6200,0,dps
Battle for Gilneas,Horde,Rogue,2,0,15,10512,1988,1,dps
Battle for Gilneas,Alliance,Warrior,3,2,6,41592,7035,0,dps
Battle for Gilneas,Alliance,Hunter,1,1,7,14512,0,0,dps
Eye of the storm,Alliance,Druid,3,3,51,41345,6846,0,dps
Eye of the storm,Alliance,Monk,1,5,47,4151,96845,0,heal
Eye of the storm,Horde,Paladin,6,5,32,71658,18317,1,dps
Eye of the storm,Alliance,Druid,0,0,65,10704,102000,0,heal
Eye of the storm,Alliance,Paladin,6,3,55,54924,19525,0,dps
Eye of the storm,Alliance,Hunter,8,3,58,80393,9125,0,dps
Eye of the storm,Alliance,Hunter,4,4,55,42148,7130,0,dps
Eye of the storm,Alliance,Priest,3,7,48,38369,16447,0,dps
Eye of the storm,Horde,Shaman,0,5,37,7373,62941,1,heal
Eye of the storm,Alliance,Paladin,4,2,61,52221,9759,0,dps
Eye of the storm,Alliance,Warrior,3,2,53,23774,3855,0,dps
Eye of the storm,Horde,Druid,0,4,36,3437,126000,1,heal
Eye of the storm,Alliance,Druid,1,3,25,15781,4953,0,dps
Eye of the storm,Horde,Mage,8,5,29,79798,8942,1,dps
Eye of the storm,Horde,Warlock,2,3,28,84128,15132,1,dps
Eye of the storm,Alliance,Paladin,9,1,66,119000,26688,0,dps
Eye of the storm,Alliance,Druid,7,1,60,52809,11500,0,dps
Eye of the storm,Horde,Demon Hunter,4,5,24,67262,6141,1,dps
Eye of the storm,Alliance,Paladin,9,1,63,170000,62122,0,dps
Eye of the storm,Horde,Demon Hunter,1,2,23,23140,4461,1,dps
Eye of the storm,Horde,Death Knight,6,6,30,68159,24001,1,dps
Eye of the storm,Horde,Warlock,3,0,33,26812,8050,1,dps
Eye of the storm,Horde,Druid,2,6,32,61954,3716,1,dps
Eye of the storm,Horde,Death Knight,2,3,34,58974,18277,1,dps
Eye of the storm,Alliance,Druid,0,3,54,301,158000,0,heal
Eye of the storm,Horde,Demon Hunter,3,5,29,80266,21357,1,dps
Eye of the storm,Horde,Monk,1,6,33,1705,116000,1,heal
Eye of the storm,Horde,Demon Hunter,2,3,28,45502,12907,1,dps
Eye of the storm,Alliance,Death Knight,5,5,46,53833,16665,0,dps
Eye of the storm,Horde,Shaman,1,0,20,4200,20294,1,heal
Eye of the storm,Horde,Demon Hunter,4,0,43,27521,11046,1,dps
Eye of the storm,Horde,Rogue,3,0,38,13482,6591,1,dps
Eye of the storm,Alliance,Shaman,0,4,1,11107,3005,0,dps
Eye of the storm,Alliance,Hunter,0,3,0,30026,6214,0,dps
Eye of the storm,Alliance,Druid,1,5,1,34245,6072,0,dps
Eye of the storm,Horde,Mage,4,0,33,34665,4104,1,dps
Eye of the storm,Alliance,Warlock,0,4,1,28212,12558,0,dps
Eye of the storm,Horde,Paladin,5,1,27,37387,14109,1,dps
Eye of the storm,Horde,Hunter,1,1,37,8275,1473,1,dps
Eye of the storm,Horde,Shaman,0,1,35,9548,44439,1,heal
Eye of the storm,Alliance,Warrior,1,4,2,33650,7070,0,dps
Eye of the storm,Alliance,Rogue,0,5,2,13750,5845,0,dps
Eye of the storm,Horde,Rogue,5,0,27,32895,7786,1,dps
Eye of the storm,Alliance,Druid,0,3,1,13175,6591,0,dps
Eye of the storm,Horde,Priest,5,0,40,60040,15011,1,dps
Eye of the storm,Alliance,Rogue,0,2,3,28351,12590,0,dps
Eye of the storm,Horde,Rogue,1,0,23,3668,910,1,dps
Eye of the storm,Alliance,Druid,0,6,1,0,22660,0,heal
Eye of the storm,Horde,Warlock,7,0,43,39438,16546,1,dps
Eye of the storm,Horde,Shaman,5,0,35,31776,6985,1,dps
Eye of the storm,Alliance,Mage,0,5,1,14947,1264,0,dps
Eye of the storm,Horde,Death Knight,6,0,37,37951,13729,1,dps
Eye of the storm,Horde,Death Knight,5,0,44,40162,38360,1,dps
Eye of the storm,Alliance,Warrior,1,3,2,18236,669,0,dps
Eye of the storm,Horde,Death Knight,0,0,44,30676,2575,1,dps
Eye of the storm,Alliance,Druid,0,4,1,702,43364,0,heal
Eye of the storm,Horde,Shaman,4,4,23,87355,11429,0,dps
Eye of the storm,Alliance,Shaman,0,0,30,9147,83387,1,heal
Eye of the storm,Alliance,Hunter,3,0,28,31257,3852,1,dps
Eye of the storm,Horde,Priest,6,0,25,79258,15808,0,dps
Eye of the storm,Horde,Warrior,2,5,21,54041,5374,0,dps
Eye of the storm,Horde,Monk,0,2,28,2167,120000,0,heal
Eye of the storm,Alliance,Hunter,4,4,34,47561,7910,1,dps
Eye of the storm,Horde,Hunter,0,2,12,6894,3059,0,dps
Eye of the storm,Horde,Paladin,1,2,19,56580,12849,0,dps
Eye of the storm,Alliance,Druid,0,2,39,0,107000,1,heal
Eye of the storm,Horde,Shaman,0,5,29,14677,93200,0,heal
Eye of the storm,Alliance,Death Knight,1,0,31,33700,6223,1,dps
Eye of the storm,Alliance,Death Knight,3,3,36,73649,20787,1,dps
Eye of the storm,Horde,Demon Hunter,2,4,29,96061,5560,0,dps
Eye of the storm,Alliance,Demon Hunter,10,0,42,75412,14354,1,dps
Eye of the storm,Horde,Druid,1,1,28,39814,7010,0,dps
Eye of the storm,Horde,Rogue,2,1,28,30362,9186,0,dps
Eye of the storm,Alliance,Demon Hunter,2,0,38,37383,2751,1,dps
Eye of the storm,Alliance,Demon Hunter,8,1,43,57601,13853,1,dps
Eye of the storm,Horde,Demon Hunter,1,3,27,25643,2055,0,dps
Eye of the storm,Alliance,Shaman,2,5,30,36510,9813,1,dps
Eye of the storm,Alliance,Warrior,6,4,42,83743,12146,1,dps
Eye of the storm,Horde,Monk,0,3,28,1155,113000,0,heal
Eye of the storm,Alliance,Warrior,2,4,41,38146,10200,1,dps
Eye of the storm,Horde,Mage,5,3,24,48825,1987,0,dps
Eye of the storm,Horde,Death Knight,2,5,26,30744,13375,0,dps
Eye of the storm,Alliance,Warrior,5,3,33,57637,15991,1,dps
Eye of the storm,Alliance,Shaman,1,1,40,5477,122000,1,heal
Eye of the storm,Alliance,Demon Hunter,1,3,42,73138,3303,1,dps
Eye of the storm,Horde,Rogue,2,7,22,43417,4718,0,dps
Satrnd of the ancients,Alliance,Warrior,1,1,29,31129,12358,0,dps
Satrnd of the ancients,Alliance,Warrior,2,6,33,57950,5784,0,dps
Satrnd of the ancients,Horde,Warlock,1,6,27,79610,31523,1,dps
Satrnd of the ancients,Horde,Priest,3,1,30,31158,11969,1,dps
Satrnd of the ancients,Alliance,Paladin,0,0,5,18558,2724,0,dps
Satrnd of the ancients,Alliance,Demon Hunter,2,4,27,62836,3631,0,dps
Satrnd of the ancients,Horde,Hunter,2,4,30,88075,4727,1,dps
Satrnd of the ancients,Horde,Druid,3,0,32,67420,17183,1,dps
Satrnd of the ancients,Horde,Shaman,0,1,30,20887,87785,1,heal
Satrnd of the ancients,Alliance,Priest,14,0,40,134000,39508,0,dps
Satrnd of the ancients,Alliance,Priest,0,4,33,9542,138000,0,heal
Satrnd of the ancients,Horde,Druid,1,1,28,6112,127000,1,heal
Satrnd of the ancients,Horde,Hunter,3,1,28,102000,7947,1,dps
Satrnd of the ancients,Alliance,Druid,1,2,29,56692,43818,0,dps
Satrnd of the ancients,Alliance,Druid,6,1,40,100000,15722,0,dps
Satrnd of the ancients,Alliance,Mage,1,2,23,69139,11493,0,dps
